地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク,資源種類
北海道,北海道,札幌市/京極町,自然,山岳,無意根山,B,自然資源
東北,宮城,塩竃市,人文,郷土景観,浦戸諸島の海苔ひび・牡蠣棚の風景,B,歴史資源
南関西,三重,熊野市、紀宝町,自然,海岸・岬,七里御浜,B,自然資源
北海道,北海道,函館市,人文,神社・寺院・教会,函館八幡宮,B,歴史資源
北関西,京都,京都市,人文,郷土景観,哲学の道,B,歴史資源
北関西,京都,京都市,自然,植物,洛西の竹林,B,自然資源
南関西,奈良,桜井市,人文,神社・寺院・教会,三輪山（大神神社）,B,歴史資源
南関西,奈良,橿原市,自然,山岳,大和三山,B,自然資源
南関西,和歌山,新宮市,人文,神社・寺院・教会,神倉神社,B,歴史資源
北関西,京都,京都市,人文,庭園・公園,盤恒園・鶴亀庭園,B,自然資源
中国,兵庫,南あわじ市,人文,史跡,沼島,B,歴史資源
